type,0.0,total_weight_to_oviINr
AVLP316,3,83
SMP420,3,81
SMP014,3,80
SMP555,3,66
SMP312,3,61
SMP322,3,53
SMP588,3,52
SMP495,3,51
OA-VUMa6,3,49
SMP362,3,49
SMP245,3,48
SMP278,3,46
SMP149,3,40
LHPD2c5,3,34
NPFL1-I,3,34
SMP040,3,33
SMP143,3,33
SMP578,3,33
aIPg2,3,32
CL157,3,31
SMP327,3,31
SMP313,3,30
SMP316_a,3,29
CL319,3,28
aIPg1,3,26
SMP360,3,24
IB022,3,23
SMP021,3,23
SMP424,3,23
SMP151,3,22
SMP393,3,22
AVLP496,3,21
LHPD2c1,3,21
SMP361,3,21
SMP391,3,20
SMP580,3,20
CL318,3,19
SLP401,3,19
SMP359_b,3,18
SMP325,3,16
SMP328,3,16
SMP554,3,16
SMP557,3,16
aIPg4,3,16
SMP280,3,15
VES060,3,15
SMP363,3,14
SMP547,3,14
CL278,3,12
IB087,3,12
SMP018_b,3,12
SMP214,3,12
SMP248,3,12
SMP282,3,12
SMP359_a,3,12
SMP546,3,12
SMP019,3,11
SMP455,3,11
IB018,3,10
SMP020,3,10
SMP039,3,10
SMP318,3,10
SMP324,3,10
SMP394,3,10
aIPg3,3,10
CL301,3,9
SMP081,3,9
SMP358,3,9
PAL03,3,8
SIP023,3,8
SMP590,3,8
SIP024,3,7
SMP341,3,7
SMP496,3,7
SMP575,3,7
VES061,3,7
AOTU062,3,6
CL171,3,6
CL300,3,6
SMP037,3,6
SMP330,3,6
SMP364,3,6
SMP388,3,6
AVLP015,3,5
AVLP590,3,5
CL344,3,5
IB016,3,5
LAL025,3,5
MBON35,3,5
SLP246,3,5
SMP246,3,5
SMP366,3,5
SMP458,3,5
SMP574,3,5
SMP577,3,5
CL019_a,3,4
CL175,3,4
CL211,3,4
CL336,3,4
CL337,3,4
IB053,3,4
SMP069,3,4
SMP558,3,4
SMP581,3,4
vpoEN,3,4
5-HTPMPV01,3,3
AOTU061,3,3
AVLP016,3,3
CL194,3,3
SLP392,3,3
SMP055,3,3
SMP057,3,3
SMP158,3,3
SMP164,3,3
SMP265,3,3
SMP323,3,3
SMP329,3,3
SMP340,3,3
SMP477,3,3
SMP576,3,3
AOTU020,3,2
AOTU044,3,2
AVLP495,3,2
CL006,3,2
CL018,3,2
CL020,3,2
CL144,3,2
CL147,3,2
CL161,3,2
LAL130,3,2
LC46a,3,2
PLP245,3,2
SIP055,3,2
SIP059,3,2
SMP017,3,2
SMP018_a,3,2
SMP022,3,2
SMP054,3,2
SMP148,3,2
SMP279_c,3,2
SMP281,3,2
SMP342,3,2
SMP369,3,2
SMP390,3,2
SMP396,3,2
SMP398,3,2
WED014,3,2
5-HTPMPV03,3,1
AOTU008_a,3,1
AOTU024,3,1
ATL042,3,1
AVLP096,3,1
AVLP256,3,1
AVLP460,3,1
AVLP493,3,1
AVLP494,3,1
CL060,3,1
CL143,3,1
CL174,3,1
CL185,3,1
CL287,3,1
CL311,3,1
CL312,3,1
CL342,3,1
CRE089,3,1
CRE095,3,1
IB091,3,1
IB109,3,1
LT34,3,1
PLP210,3,1
PLP216,3,1
PLP244,3,1
PVLP151,3,1
SIP034,3,1
SIP060,3,1
SIP062,3,1
SIP063,3,1
SLP245,3,1
SLP356,3,1
SMP016_b,3,1
SMP018_c,3,1
SMP038,3,1
SMP045,3,1
SMP089,3,1
SMP155,3,1
SMP365,3,1
SMP375,3,1
SMP378,3,1
SMP442,3,1
SMP493,3,1
SMP506,3,1
SMP591,3,1
VES023,3,1
WED013,3,1
FS1A,4,892
FC2B,4,290
SMP566,4,203
FC2C,4,161
SMP386,4,156
SMP153,4,137
SMP185,4,129
SMP179,4,104
SMP007,4,98
FS1B,4,84
SMP189,4,76
SMP564,4,70
FS3,4,62
SMP567,4,61
SMP559,4,58
OA-VPM3,4,40
SMP408_d,4,38
SMP563,4,38
SMP240,4,37
SMP562,4,37
SMP151,4,36
FB5G,4,32
SMP542,4,32
SMP181,4,27
SMP560,4,26
FC2A,4,24
SMP060,4,24
PLP122,4,21
SIP061,4,19
SMP178,4,19
SMP374,4,18
SMP376,4,17
SMP436,4,17
FC1C,4,16
SMP437,4,15
CRE078,4,14
PLP121,4,14
FB5D,4,13
FB5O,4,13
FB5Q,4,13
FB5E,4,12
LAL182,4,11
SIP060,4,11
SMP133,4,10
SMP238,4,10
FB1H,4,8
FB5F,4,8
FB3E,4,7
LHPV5g1_a,4,7
SMP239,4,7
SMP405,4,7
FB5AA,4,6
FB6W,4,6
SIP069,4,6
SMP182,4,6
SMP356,4,6
SMP363,4,6
SMP507,4,6
SMP565,4,6
CRE083,4,5
FB5C,4,5
FB6X,4,5
SMP270,4,5
SMP433,4,5
FB5L,4,4
FB6U,4,4
FB7E,4,4
PLP042_b,4,4
SIP073,4,4
SLP398,4,4
SMP188,4,4
SMP408_c,4,4
SMP409,4,4
SMP541,4,4
SMP561,4,4
AVLP032,4,3
CRE025,4,3
FB1C,4,3
FC1E,4,3
FS4C,4,3
SIP064,4,3
SMP110,4,3
SMP117_b,4,3
SMP131,4,3
SMP186,4,3
SMP371,4,3
SMP377,4,3
SMP504,4,3
CRE093,4,2
FB6V,4,2
PLP046_b,4,2
PLP246,4,2
SIP063,4,2
SIP065,4,2
SMP010,4,2
SMP023,4,2
SMP046,4,2
SMP147,4,2
SMP150,4,2
SMP190,4,2
SMP456,4,2
SMP595,4,2
ATL008,4,1
ATL024,4,1
CRE094,4,1
FB2L,4,1
FB4D,4,1
FB4P_a,4,1
FB4Q_b,4,1
FB5N,4,1
FB5P,4,1
FB6N,4,1
FB7C,4,1
FB8I,4,1
FC1D,4,1
IB091,4,1
PFL2,4,1
PS258,4,1
SIP074,4,1
SLP393,4,1
SLP396,4,1
SMP024,4,1
SMP085,4,1
SMP129,4,1
SMP144,4,1
SMP199,4,1
SMP248,4,1
SMP336,4,1
SMP355,4,1
SMP387,4,1
SMP399,4,1
SMP408_a,4,1
SMP408_b,4,1
SMP412,4,1
IB017,5,236
CRE075,5,225
SMP556,5,102
CRE023,5,99
SMP048,5,74
PPL102,5,70
CRE043_c,5,67
LAL155,5,65
SMP122,5,65
LAL129,5,58
SMP573,5,51
LAL160,5,50
SMP157,5,48
CL167,5,47
SMP385,5,46
CRE035,5,43
SMP471,5,43
CRE074,5,41
LAL100,5,41
SMP141,5,35
CRE022,5,33
LAL161,5,33
PPL108,5,32
CRE046,5,31
SMP163,5,22
FB4P_a,5,19
SMP273,5,18
PLP161,5,16
SMP474,5,14
SMP015,5,13
CRE005,5,12
PLP162,5,12
SMP140,5,12
AVLP477,5,11
CRE080,5,11
CRE004,5,10
